Time,Susceptible,Exposed,Infected,Recovered/Vaccinated,Total Population
152,3979901.608405233,2304816.8817057107,3740510.189956621,27979040.653190196,32387762.65214224
153,3755766.437939812,2205182.0463471273,3691724.405675003,28287399.673483912,32362119.48112671
154,3546927.102477804,2104840.764636253,3634799.355342097,28590684.384442028,32339476.541244112
155,3352599.626204989,2004546.1843537688,3570410.949993921,28888398.53153792,32319648.38179693
156,3171983.234033751,1904975.623963151,3499264.4877511566,29180094.56081267,32302459.529247172
157,3004273.238303057,1806728.1619118443,3422082.4776707683,29465374.928197123,32287744.190754354
158,2848671.8806564254,1710324.387752001,3339593.37312806,29743892.61828933,32275345.918290317
159,2704397.2135108295,1616207.9718692342,3252521.3823092687,30015350.942836113,32265117.244059052
160,2570690.16443752,1524748.6980727315,3161577.4657698767,30279502.69783282,32256919.29666726
161,2446819.943647071,1436246.6316248337,3067451.577146723,30536148.76483297,32250621.405706722
162,2332087.997429668,1350937.0965193636,2970806.1583521464,30785136.242729533,32246100.70124183
163,2225830.7017087303,1268996.1890515098,2872270.857220757,31026356.19535855,32243241.713337827
164,2127420.978902812,1190546.582116238,2772438.424699305,31259741.096000828,32241935.975024156
165,2036269.0338230415,1115663.4240866138,2671861.687359792,31485262.04936769,32242081.633452736
166,1951822.3634546387,1044380.1606584572,2571051.5266315793,31702925.85681471,32243583.070923332
167,1873565.1988552427,976694.15583518,2470475.742499636,31912771.99243534,32246350.537799
168,1801017.5062846262,912572.0173729862,2370558.697554852,32114869.54523566,32250299.799111053
169,1733733.6619622065,851954.5593173094,2271681.6319474513,32309314.175462104,32255351.79575348
170,1671300.895638602,794761.3596807634,2174183.542538312,32496225.126259256,32261432.32082316
171,1613337.5811995447,740894.8932767205,2078362.5225052382,32675742.32570599,32268471.711699136
172,1559491.4402297067,690244.2309966472,1984477.4702965412,32848023.60533067,32276404.557758816
173,1509437.7071833182,642688.3163202194,1892750.081246214,33013242.056090925,32285169.423859145
174,1462877.2996822041,598098.831232828,1803367.0440500733,33171583.5388417,32294708.589213546
175,1419535.0220993892,556342.6773256247,1716482.3762338704,33323244.358483322,32304967.801341094
176,1379157.82587128,517284.09861542797,1632219.839660882,33468429.108699396,32315896.044670403
177,1341513.1429083848,480786.47596381634,1550675.385630097,33607348.69051847,32327445.32321002
178,1306387.3025589942,446713.8236681143,1471919.5900538256,33740218.5035322,32339570.456791766
179,1273584.0392048808,414932.0199628619,1396000.0422948194,33867256.80792333,32352228.89018121
180,1242923.0933494251,385309.80119611224,1322943.66204575,33988683.251906954,32365380.514491577
181,1214238.9068661688,357719.548532977,1252758.9229597033,34104717.55824761,32378987.500246085
182,1187379.4119781272,332037.89445379726,1185437.9654597507,34215578.36271666,32393014.141441476
183,1162204.9092247044,308146.1730785191,1120958.592028812,34321482.19479424,32407426.710000284
184,1138587.0335424715,285930.73791122285,1059286.1316691483,34422642.59336963,32422193.319973253
185,1116407.802083112,265283.1671837176,1000375.173635379,34519269.346730545,32437283.800923526
186,1095558.7396245687,246100.37490889628,944171.1683183864,34611567.84772006,32452669.579839326
187,1075940.0767475152,228284.64372986386,890611.8961892552,34699738.55469105,32468323.57143854
188,1057460.015561374,211743.59419170476,839628.8072488436,34783976.54912706,32484220.07526744
189,1040034.0581349721,196390.10270213676,791148.2356303923,34864471.18063535,32500334.68050788
190,1023584.3927187311,182142.17867683776,745092.4947425214,34941405.79086376,32516644.17712574
191,1008039.3331815489,168922.8102139737,701380.858723896,35014957.50822548,32533126.472882617
192,993332.8073202086,156659.7860642914,659930.4369359985,35085297.10561422,32549760.516332522
193,979403.8898405625,145285.50077191961,620656.9482843489,35152588.91382119,32566526.225067377
194,966196.37621249,134736.7481962228,583475.4025782638,35216990.78401327,32583404.41871357
195,953658.3938251971,124954.50816386264,548300.6958206111,35278654.09306008,32600376.7566524
196,941742.0471320071,115883.73005852639,515048.1264852441,35337723.785892,32617425.679762058
197,930403.0937461925,107473.11639137447,483633.8394966566,35394338.449714705,32634534.356966507
198,919600.6486905934,99674.90882200345,453975.20449348923,35448630.41526387,32651686.635181557
199,909296.9142707471,92444.67865891499,425991.1344023153,35500725.88084496,32668866.990216624
200,899456.9332692183,85741.1231157521,399602.35040104063,35550745.055266485,32686060.486331
201,890048.3632399922,79525.868786189,374731.59880787815,35598802.31598743,32703252.732146833
202,881041.2700863667,73763.28285290556,351303.82497879857,35645006.37956634,32720429.84590204
203,872407.9391644127,68420.29273936187,329246.30876420543,35689460.48171557,32737578.417578854
204,864122.7022336167,63466.21453369855,308488.7665098096,35732262.564160585,32754685.47799132
205,856161.7788913221,58872.59032974566,288963.42324934143,35773505.46643359,32771738.467045277
206,848503.1311886798,54613.034519269706,270605.0588251463,35813277.12070076,32788725.205796365
207,841126.3302251617,50663.088937232176,253351.03147076038,35851660.74790366,32805633.87029887
208,834012.4336235457,47000.086733233155,237141.28196260976,35888735.05376527,32822452.966369923
209,827143.8729893556,43603.02462846173,221918.32097237272,35924574.42358626,32839171.308119446
210,820504.3504411051,40452.443393960006,207627.20208175015,35959249.11476609,32855777.995576397
211,814078.7433826361,37530.316128843544,194215.4829999665,35992825.44605489,32872262.396860316
212,807853.0168501941,34819.94400264815,181633.17673328533,36025365.982961886,32888614.12895181
213,801814.1427943828,32305.85910015,169832.69445503334,36056929.71874487,32904823.04209856
214,795950.0256451363,29973.734015534523,158768.78185171168,36087572.250387415,32920879.204712376
215,790249.4336622378,27810.29777964983,148398.45024799256,36117345.949264176,32936772.89002412
216,784701.9356065432,25803.25774568341,138680.9036735255,36146300.1262451,32952494.563191414
217,779297.8422562024,23941.227116128746,129577.46298583076,36174481.190991186,32968034.870688498
218,774028.1523869532,22213.657705310663,121051.48799691361,36201932.80531769,32983384.63008184
219,768884.5027580245,20610.77759648505,113068.29869072227,36228696.030403264,32998534.82159376
220,763859.1220415488,19123.533425875918,105595.09528984208,36254809.46828506,33013476.580339305
221,758944.7880110889,17743.536872795088,98600.87910167775,36280309.39700441,33028201.19007128
222,754134.7880873932,16463.01520611093,92056.373374134,36305229.900035836,33042700.077537157
223,749422.8826144023,15274.765414068757,85933.94584490954,36329602.989549585,33056964.8083795
224,744803.271071122,14172.111868555075,80207.5318756724,36353458.7242407,33070987.083701693
225,740270.5605481593,13148.86707106414,74852.55997693822,36376825.32119975,33084758.73795417
226,735819.7366833016,12199.295441026119,69845.87863764903,36399729.262541905,33098271.73772119
227,731446.136633725,11318.079753712937,65165.685627962484,36422195.39652248,33111518.1815475
228,727145.4240327709,10500.290120143714,60791.45939779426,36444247.03355242,33124490.300463002
229,722913.5657801213,9741.355349362328,56703.892690663066,36465906.037261106,33137180.46005118
230,718746.8104435749,9037.036388797753,52884.82879117604,36487192.910689436,33149581.16313678
231,714641.6683041621,8383.401864188176,49317.19994768599,36508126.87792525,33161685.053313337
232,710594.8927323841,7776.805352504493,45984.96855331245,36528725.961254686,33173484.919831805
233,706603.4629919865,7213.864452979644,42873.070559828106,36549007.05410991,33184973.70312102
234,702664.5681954352,6691.441366438091,39967.36152736271,36568985.98993832,33196144.501066994
235,698775.5924497829,6206.624980565581,37254.564975564586,36588677.607222855,33206990.576881096
236,694934.101043846,5756.714267459814,34722.22321191396,36608095.81078207,33217505.367031604
237,691137.8276077282,5339.202916619794,32358.650488847576,36627253.62957639,33227682.490532096
238,687384.6622108958,4951.765151026494,30152.888402373443,36646163.27115435,33237515.7589378
239,683672.6402637826,4592.2425448902395,28094.663581222852,36664836.1729444,33246999.187122166
240,679999.9322506691,4258.631889906297,26174.347439948484,36683283.05050969,33256127.004923597
241,676364.8341450453,3949.0738935571217,24382.91809540955,36701513.94297039,33264893.669431914
242,672765.7585399718,3661.8427610594786,22711.924239467073,36719538.255688235,33273293.87827532
243,669201.2263793553,3395.336522853681,21153.450955102915,36737364.80041751,33281322.582310073
244,665669.8592847863,3148.0680864130404,19700.08737104508,36755001.83302365,33288975.000104196
245,662170.3724262593,2918.656946939253,18344.896100705697,36772457.0889014,33296246.63423025
246,658701.5678839532,2705.8214920239116,17081.384370403615,36789737.816256374,33303133.28574348
247,655262.3284982932,2508.3718927788545,15903.476773507837,36806850.8073068,33309631.067801867
248,651851.6121290157,2325.2034828032474,14805.489562226177,36823802.427610315,33315736.424398027
249,648468.4463496531,2155.2906683711844,13782.106402260237,36840598.64351981,33321446.144516803
250,645111.9234895759,1997.681229900349,12828.355545416316,36857245.04797815,33326757.37966477
